dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
10,10325,Rosières-près-Troyes,4749.0,24100.0,Moyen,0.5318342428212242,3
45,45214,Montigny,238.0,25460.0,Élevé,0.0254929827383874,3
07,07126,Lagorce,1195.0,20960.0,Très faible,0.147277661362844,0
08,08491,Vrigne-aux-Bois,3540.0,20590.0,Très faible,0.4409823146314574,0
38,38474,Sassenage,11660.0,25750.0,Élevé,1.2368203357700824,3
11,11269,Ouveillan,2554.0,20530.0,Très faible,0.3187043696045841,0
35,35155,Lohéac,682.0,22060.0,Faible,0.081363719513048,0
57,57072,Bettelainville,622.0,25530.0,Élevé,0.0664684363783266,3
22,22254,Prat,1103.0,21410.0,Faible,0.1341598221257263,0
31,31141,Ciadoux,219.0,19090.0,Très faible,0.0284587111350687,0
71,71242,Joncy,512.0,21100.0,Très faible,0.0628444339302225,0
80,80269,Épaumesnil,109.0,22020.0,Faible,0.0130195085872755,0
57,57486,Morville-sur-Nied,116.0,19580.0,Très faible,0.0148702613361104,0
63,63461,Vinzelles,365.0,22490.0,Faible,0.042982467162621,0
54,54460,Rogéville,155.0,24630.0,Moyen,0.0170637553693571,3
43,43241,Solignac-sur-Loire,1283.0,22300.0,Faible,0.1519601790965993,0
54,54128,Choloy-Ménillot,706.0,22850.0,Moyen,0.0822275809785594,3
67,67095,Diemeringen,1592.0,22840.0,Moyen,0.1854767707924367,3
42,42225,Genilac,3843.0,25220.0,Élevé,0.4149430106741144,3
27,27033,Bacquepuis,307.0,26250.0,Élevé,0.0320143875829543,3
52,52156,Curel,407.0,20530.0,Très faible,0.0507880495023749,0
55,55514,Trémont-sur-Saulx,588.0,23600.0,Moyen,0.0669032707868523,3
67,67460,Schwindratzheim,1759.0,26720.0,Élevé,0.1804673206756843,3
44,44031,La Chapelle-Glain,807.0,19700.0,Très faible,0.1031037192425832,0
55,55099,Champneuville,123.0,23110.0,Moyen,0.0142111269363113,3
62,62624,Noyelles-Godault,5906.0,19040.0,Très faible,0.7685341484595046,0
27,27667,Valailles,401.0,23910.0,Moyen,0.0451805855683904,3
64,64161,Came,1013.0,21700.0,Faible,0.122159862212225,0
23,23021,Bénévent-l'Abbaye,764.0,19820.0,Très faible,0.0972813116059176,0
59,59588,Téteghem,8384.0,26490.0,Élevé,0.8670820362667442,3
02,02460,Marcy-sous-Marle,205.0,20840.0,Très faible,0.0253533912143314,0
